id_player,first_activity_year,Won
R557,No data,No data
K338,1996,3
LC89,2011,0
M991,2000,0
T898,2009,0
C0E9,2019,25
C764,2001,0
CN62,2014,0
P426,1998,0
W349,No data,No data
N240,No data,No data
BT95,No data,No data
G502,1998,0
PM20,2015,0
H631,No data,No data
C0G1,2018,0
R219,1988,115
K310,1994,215
BM54,2013,0
MN67,2011,0
M761,2000,0
F634,2007,0
AF85,2015,0
W361,2000,5
O176,1998,0
H619,2001,0
PM08,No data,No data
GE92,2012,0
V719,2009,0
I261,No data,No data
B334,1988,1
BJ32,2010,0
MI01,2007,3
D745,No data,No data
S675,1997,239
M013,No data,0
D989,No data,No data
BJ26,2010,0
MI15,2007,0
D751,2004,0
GE86,2012,0
A629,2003,0
W413,2002,0
AF91,No data,No data
F620,2005,0
D037,1972,117
C0F5,No data,No data
K304,1994,0
MN73,2012,0
M775,1998,0
B446,1990,414
KJ02,2015,0
BC98,2005,0
MN98,2012,0
DG02,1896,32
KD31,No data,No data
L480,1998,23
O189,1999,3
F813,No data,No data
MW71,2016,0
BT42,2014,0
N297,1997,0
Q937,No data,No data
PD49,2007,0
KC57,2009,0
K489,2001,0
LD38,2013,0
MG26,No data,No data
BD15,2004,0
D962,2008,0
S852,1998,0
D0I3,No data,No data
KC43,2009,0
R594,No data,No data
MG32,No data,No data
BD01,No data,No data
D976,2012,0
AA08,No data,No data
MP03,2012,0
GE79,No data,No data
MW65,No data,No data
F807,2010,0
BT56,2014,0
BC67,2004,0
M952,2000,0
KD25,2011,0
GB37,2008,0
HA04,2008,0
H802,No data,No data
PC13,2005,0
CN89,2015,0
B491,1993,0
C957,2005,0
C0K2,No data,No data
LC62,No data,No data
CG37,2011,0
D786,No data,No data
LD04,No data,No data
BD29,No data,No data
PD75,No data,No data
AA20,No data,No data
F191,1988,28
A826,No data,No data
GE51,No data,No data
PD61,2007,0
F185,1992,4
AA34,2009,0
A832,2006,0
GE45,2011,0
D792,2006,0
CG23,2011,0
LD10,2011,0
T867,2003,0
KD19,2010,0
GB23,2007,0
MW59,2015,0
AF52,No data,No data
H816,2005,0
PC07,No data,No data
P156,1962,2
A403,1999,0
W639,No data,No data
N730,2011,0
PF88,2012,0
V527,No data,No data
G072,1972,8
PH50,2013,0
K648,No data,No data
KA96,No data,No data
L127,1973,0
K890,No data,No data
R999,2007,0
J556,No data,No data
L899,2006,0
J230,2000,0
ML59,2010,0
R027,1985,2
H427,1998,0
G714,2002,16
O348,2006,0
A365,1998,7
P630,No data,No data
V255,1998,0
N042,1973,20
P624,2000,88
B678,1998,88
R033,1981,1
BH18,2008,0
KA82,2008,0
LH35,2014,0
K884,2005,0
E671,2005,0
J542,2012,0
P142,1968,44
GI60,2014,0
F378,1999,0
N724,2011,0
V533,2008,0
H355,1996,569
PH44,No data,No data
G066,1978,3
K674,2001,0
MK03,2008,0
DB99,2014,0
U012,1987,3
BH30,2009,0
B136,1968,8
E659,No data,No data
F350,2000,0
I063,1996,1
W605,2009,0
O412,2008,0
G728,1999,0
O374,No data,No data
F436,2000,2
B650,1997,0
M563,1993,0
ML65,No data,No data
B888,No data,No data
J218,2000,0
B644,1997,0
ML71,2010,0
K106,1952,41
CB84,2006,0
MU98,2014,0
O360,No data,No data
W177,1990,15
F422,No data,No data
F344,1998,2
N718,2011,4
W611,2009,0
O406,2009,0
PH78,2013,6
H369,1994,0
K660,No data,No data
MK17,No data,No data
BH24,2009,0
E895,2013,0
U006,1982,0
B122,1962,208
T318,1998,0
K853,2004,0
BF17,2006,0
J595,1963,1
ME24,2004,0
CE09,2008,0
R782,2004,14
KA55,No data,No data
DB66,2012,0
H382,1997,0
PH93,1951,3
FC17,2014,0
L682,2002,0
KF33,2013,0
BA71,2003,0
C0P8,2023,0
MB42,No data,No data
L696,2003,0
DE14,2014,0
BA65,2002,62
M588,1996,2
FC03,2014,0
